category,year,annualGrammy,awardType,name,awardFor
Best Spoken Word Album For Children,2000,42,Individual,Listen To The Storyteller,Listen To The Storyteller
Best Spoken Word Album,2000,42,Individual,"The Autobiography Of Martin Luther King, Jr.","The Autobiography Of Martin Luther King, Jr."
Best Spoken Comedy Album,2000,42,Individual,Bigger And Blacker,Bigger And Blacker
Best Musical Show Album,2000,42,Individual,Annie Get Your Gun,Annie Get Your Gun
Best Soundtrack Album,2000,42,Individual,Tarzan,Tarzan
"Best Instrumental Composition Written For A Motion Picture, Television Or Other Visual Media.",2000,42,Individual,A Bug's Life,A Bug's Life
"Best Song Written For A Motion Picture, Television Or Other Visual Media.",2000,42,Work,Madonna,Beautiful Stranger (From Austin Powers - The Spy Who Shagged Me)
Best Instrumental Composition,2000,42,Individual,Joyful Noise Suite,Joyful Noise Suite
Best Instrumental Arrangement,2000,42,Individual,Chelsea Bridge,Chelsea Bridge
Best Instrumental Arrangement Accompanying Vocalist(s),2000,42,Individual,Lonely Town,Lonely Town
Best Recording Package,2000,42,Individual,Ride With Bob,Ride With Bob
Best Boxed Recording Package,2000,42,Individual,Miles Davis - The Complete Bitches Brew Sessions,Miles Davis - The Complete Bitches Brew Sessions
Best Album Notes,2000,42,Individual,John Coltrane - The Classic Quartet: Complete Impulse! Studio Recordings,John Coltrane - The Classic Quartet: Complete Impulse! Studio Recordings
Best Historical Album,2000,42,Individual,The Duke Ellington Centennial Edition - The Complete RCA Victor Recordings (1927-1973),The Duke Ellington Centennial Edition - The Complete RCA Victor Recordings (1927-1973)
Best Engineered Album - Non-Classical,2000,42,Individual,When I Look In Your Eyes,When I Look In Your Eyes
"Producer Of The Year, Non-Classical",2000,42,Individual,Walter Afanasieff,Walter Afanasieff
"Remixer Of The Year, Non-Classical",2000,42,Individual,,
"Best Engineered Album, Classical",2000,42,Individual,Stravinsky: Firebird; The Rite Of Spring; Perséphone,Stravinsky: Firebird; The Rite Of Spring; Perséphone
"Producer Of The Year, Classical",2000,42,Individual,Adam Abeshouse,Adam Abeshouse
Best Classical Album,2000,42,Individual,Stravinsky: Firebird; The Rite Of Spring; Perséphone,Stravinsky: Firebird; The Rite Of Spring; Perséphone
Best Orchestral Performance,2000,42,Individual,Stravinsky: Firebird; The Rite Of Spring; Perséphone,Stravinsky: Firebird; The Rite Of Spring; Perséphone
Best Opera Recording,2000,42,Individual,Stravinsky: The Rake's Progress,Stravinsky: The Rake's Progress
Best Choral Performance,2000,42,Individual,Britten: War Requiem,Britten: War Requiem
Best Instrumental Soloist(s) Performance (With Orchestra),2000,42,Individual,Prokofiev: Piano Concertos Nos. 1 & 3/Bartók: Piano Concerto No. 3,Prokofiev: Piano Concertos Nos. 1 & 3/Bartók: Piano Concerto No. 3
Best Instrumental Soloist Performance (Without Orchestra),2000,42,Individual,"Shostakovich: 24 Preludes & Fugues, Op. 87","Shostakovich: 24 Preludes & Fugues, Op. 87"
Best Chamber Music Performance,2000,42,Individual,"Beethoven: The Violin Sonatas (Nos. 1-3, Op. 12; Nos. 1-3, Op. 30; ""Spring"" Sonata)","Beethoven: The Violin Sonatas (Nos. 1-3, Op. 12; Nos. 1-3, Op. 30; ""Spring"" Sonata)"
Best Small Ensemble Performance (With Or Without Conductor),2000,42,Individual,"Colors Of Love - Works Of Thomas, Stucky, Tavener & Rands","Colors Of Love - Works Of Thomas, Stucky, Tavener & Rands"
Best Classical Vocal Performance,2000,42,Individual,Mahler: Des Knaben Wunderhorn,Mahler: Des Knaben Wunderhorn
Best Classical Contemporary Composition,2000,42,Individual,Boulez: Répons,Boulez: Répons
Best Classical Crossover Album,2000,42,Individual,"Schickele: Hornsmoke (Piano Concerto No. 2 In F Major ""Ole""; Brass Calendar; Hornsmoke - A Horse Opera)","Schickele: Hornsmoke (Piano Concerto No. 2 In F Major ""Ole""; Brass Calendar; Hornsmoke - A Horse Opera)"
Best Short Form Music Video,2000,42,Individual,Freak On A Leash,Freak On A Leash
Best Long Form Music Video,2000,42,Individual,Band Of Gypsies - Live At Fillmore East,Band Of Gypsies - Live At Fillmore East
Record Of The Year,2002,44,Work,U2,Walk On
Album Of The Year,2002,44,Individual,"O Brother, Where Art Thou? - Soundtrack","O Brother, Where Art Thou? - Soundtrack"
Song Of The Year,2002,44,Work,Alicia Keys,Fallin'
Best New Artist,2002,44,Work,Alicia Keys,Alicia Keys
Best Female Pop Vocal Performance,2002,44,Individual,I'm Like A Bird,I'm Like A Bird
Best Male Pop Vocal Performance,2002,44,Work,James Taylor,Don't Let Me Be Lonely Tonight
Best Pop Performance By A Duo Or Group With Vocal,2002,44,Work,U2,Stuck In A Moment You Can't Get Out Of
Best Pop Collaboration With Vocals,2002,44,Work,Christina Aguilera,Lady Marmalade
Best Pop Instrumental Performance,2002,44,Work,Eric Clapton,Reptile
Best Dance Recording,2002,44,Individual,All For You,All For You
Best Pop Instrumental Album,2002,44,Individual,No Substitutions - Live In Osaka,No Substitutions - Live In Osaka
Best Pop Vocal Album,2002,44,Individual,Lovers Rock,Lovers Rock
Best Traditional Pop Vocal Album,2002,44,Individual,Songs I Heard,Songs I Heard
Best Female Rock Vocal Performance,2002,44,Individual,Get Right With God,Get Right With God
Best Male Rock Vocal Performance,2002,44,Individual,Dig In,Dig In
Best Rock Performance By A Duo Or Group With Vocal,2002,44,Work,U2,Elevation
Best Hard Rock Performance,2002,44,Individual,Crawling,Crawling
Best Metal Performance,2002,44,Individual,Schism,Schism
Best Rock Instrumental Performance,2002,44,Work,Jeff Beck,Dirty Mind
Best Rock Song,2002,44,Individual,Drops Of Jupiter,Drops Of Jupiter
Best Rock Album,2002,44,Work,U2,All That You Can't Leave Behind
Best Alternative Music Album,2002,44,Work,Coldplay,Parachutes
Best Female R&B Vocal Performance,2002,44,Work,Alicia Keys,Fallin'
Best Male R&B Vocal Performance,2002,44,Work,Usher,U Remind Me
Best R&B Performance By A Duo Or Group With Vocal,2002,44,Individual,Survivor,Survivor
Best R&B Song,2002,44,Work,Alicia Keys,Fallin'
Best R&B Album,2002,44,Work,Alicia Keys,Songs In A Minor
Best Traditional R&B Vocal Album,2002,44,Individual,At Last,At Last
Best Rap Solo Performance,2002,44,Individual,Get Ur Freak On,Get Ur Freak On
Best Rap Performance By A Duo Or Group,2002,44,Individual,Ms. Jackson,Ms. Jackson
Best Rap/Sung Collaboration,2002,44,Individual,Let Me Blow Ya Mind,Let Me Blow Ya Mind
Best Rap Album,2002,44,Individual,Stankonia,Stankonia
Best Female Country Vocal Performance,2002,44,Individual,Shine,Shine
Best Male Country Vocal Performance,2002,44,Individual,O Death,O Death
Best Country Performance By A Duo Or Group With Vocal,2002,44,Work,Alison Krauss,The Lucky One
Best Country Collaboration With Vocals,2002,44,Individual,I Am A Man Of Constant Sorrow,I Am A Man Of Constant Sorrow
Best Country Instrumental Performance,2002,44,Work,Steve Martin,Foggy Mountain Breakdown
Best Country Song,2002,44,Work,Alison Krauss,The Lucky One
Best Country Album,2002,44,Individual,Timeless - Hank Williams Tribute,Timeless - Hank Williams Tribute
Best Bluegrass Album,2002,44,Work,Alison Krauss,New Favorite
Best New Age Album,2002,44,Individual,A Day Without Rain,A Day Without Rain
Best Contemporary Jazz Album,2002,44,Individual,M_,M_
Best Jazz Vocal Album,2002,44,Individual,The Calling,The Calling
Best Jazz Instrumental Solo,2002,44,Individual,Chan's Song,Chan's Song
"Best Jazz Instrumental Album, Individual or Group",2002,44,Individual,This Is What I Do,This Is What I Do
Best Large Jazz Ensemble Album,2002,44,Individual,Homage To Count Basie,Homage To Count Basie
Best Latin Jazz Album,2002,44,Individual,Nocturne,Nocturne
Best Rock Gospel Album,2002,44,Individual,Solo,Solo
Best Pop/Contemporary Gospel Album,2002,44,Work,CeCe Winans,CeCe Winans
"Best Southern, Country, or Bluegrass Gospel Album",2002,44,Individual,Bill & Gloria Gaither Present A Billy Graham Music Homecoming,Bill & Gloria Gaither Present A Billy Graham Music Homecoming
Best Traditional Soul Gospel Album,2002,44,Individual,Spirit Of The Century,Spirit Of The Century
Best Contemporary Soul Gospel Album,2002,44,Work,Yolanda Adams,The Experience
Best Gospel Choir Or Chorus Album,2002,44,Individual,Love Is Live!,Love Is Live!
Best Latin Pop Album,2002,44,Individual,La Musica De Baldemar Huerta,La Musica De Baldemar Huerta
Best Latin Rock/Alternative Album,2002,44,Individual,Embrace The Chaos,Embrace The Chaos
Best Traditional Tropical Latin Album,2002,44,Individual,Dejame Entrar,Dejame Entrar
Best Salsa Album,2002,44,Individual,Encore,Encore
Best Merengue Album,2002,44,Individual,Yo Por Tí,Yo Por Tí
Best Mexican/Mexican-American Album,2002,44,Individual,En Vivo...El Hombre Y Su Musica,En Vivo...El Hombre Y Su Musica
Best Tejano Album,2002,44,Individual,Nadie Como Tu,Nadie Como Tu
Best Traditional Blues Album,2002,44,Individual,Do You Get The Blues?,Do You Get The Blues?
Best Contemporary Blues Album,2002,44,Individual,Nothing Personal,Nothing Personal
Best Traditional Folk Album,2002,44,Individual,Down From The Mountain,Down From The Mountain
Best Contemporary Folk Album,2002,44,Work,Bob Dylan,Love And Theft
Best Native American Music Album,2002,44,Individual,Bless The People - Harmonized Peyote Songs,Bless The People - Harmonized Peyote Songs
Best Reggae Album,2002,44,Individual,Halfway Tree,Halfway Tree
Best World Music Album,2002,44,Individual,Full Circle - Carnegie Hall 2000,Full Circle - Carnegie Hall 2000
Best Polka Album,2002,44,Work,Jimmy Sturr,Gone Polka
Best Musical Album For Children,2002,44,Individual,Elmo And The Orchestra,Elmo And The Orchestra
Best Spoken Word Album for Children,2002,44,Individual,Mama Don't Allow,Mama Don't Allow
Best Spoken Word Album,2002,44,Work,Quincy Jones,Q - The Autobiography Of Quincy Jones
Best Spoken Comedy Album,2002,44,Individual,Napalm & Sillyputty,Napalm & Sillyputty
Best Musical Show Album,2002,44,Individual,The Producers,The Producers
"Best Compilation Soundtrack Album For A Motion Picture, Television Or Other Visual Media",2002,44,Individual,"O Brother, Where Art Thou?","O Brother, Where Art Thou?"
"Best Score Soundtrack Album For A Motion Picture, Television Or Other Visual Media",2002,44,Individual,"Crouching Tiger, Hidden Dragon","Crouching Tiger, Hidden Dragon"
"Best Song Written For A Motion Picture, Television Or Other Visual Media",2002,44,Individual,Boss Of Me (From Malcolm In The Middle),Boss Of Me (From Malcolm In The Middle)
Best Instrumental Composition,2002,44,Individual,Cast Away - End Credits,Cast Away - End Credits
Best Instrumental Arrangement,2002,44,Work,Béla Fleck,"Claude Debussy ""Doctor Gradus Ad Parnassum"" From Children's Corner"
Best Instrumental Arrangement Accompanying Vocalist(s),2002,44,Individual,Drops Of Jupiter,Drops Of Jupiter
Best Recording Package,2002,44,Individual,Amnesiac - Special Limited Edition,Amnesiac - Special Limited Edition
Best Boxed Recording Package,2002,44,Individual,Brain In A Box - The Science Fiction Collection,Brain In A Box - The Science Fiction Collection
Best Album Notes,2002,44,Individual,Richard Pryor...And It's Deep Too! - The Complete Warner Bros. Recordings (1968-1992),Richard Pryor...And It's Deep Too! - The Complete Warner Bros. Recordings (1968-1992)
Best Historical Album,2002,44,Individual,Lady Day - The Complete Billie Holiday On Columbia 1933-1944,Lady Day - The Complete Billie Holiday On Columbia 1933-1944
"Best Engineered Album, Non-Classical",2002,44,Individual,The Look Of Love,The Look Of Love
"Producer Of The Year, Non-Classical",2002,44,Work,T Bone Burnett,T Bone Burnett
"Best Remixed Recording, Non-Classical",2002,44,Individual,Thank You (Deep Dish Vocal Remix),Thank You (Deep Dish Vocal Remix)
"Best Engineered Album, Classical",2002,44,Individual,"Bernstein (Arr. Brohn & Corigliano): West Side Story Suite (Lonely Town; Make Our Garden Grow, Etc.)","Bernstein (Arr. Brohn & Corigliano): West Side Story Suite (Lonely Town; Make Our Garden Grow, Etc.)"
"Producer Of The Year, Classical",2002,44,Individual,Manfred Eicher,Manfred Eicher
Best Classical Album,2002,44,Individual,Berlioz: Les Troyens,Berlioz: Les Troyens
Best Orchestral Performance,2002,44,Work,Pierre Boulez,"Boulez Conducts Varèse - Amériques, Arcana, Déserts & Ionisation"
Best Opera Recording,2002,44,Individual,Berlioz: Les Troyens,Berlioz: Les Troyens
Best Choral Performance,2002,44,Individual,Bach: St. Matthew Passion,Bach: St. Matthew Passion
Best Instrumental Soloist(s) Performance (with Orchestra),2002,44,Individual,Strauss Wind Concertos - Horn Concerto; Oboe Concerto,Strauss Wind Concertos - Horn Concerto; Oboe Concerto
Best Instrumental Soloist Performance (without Orchestra),2002,44,Individual,Britten Cello Suites (1-3),Britten Cello Suites (1-3)
Best Chamber Music Performance,2002,44,Individual,Haydn: The Complete String Quartets,Haydn: The Complete String Quartets
Best Small Ensemble Performance (with or without Conductor),2002,44,Individual,"After Mozart - Raskatov, Silvestrov & Schnittke","After Mozart - Raskatov, Silvestrov & Schnittke"
Best Classical Vocal Performance,2002,44,Individual,Dreams & Fables - Gluck Italian Arias: Tremo Fra' Dubbi Miei; Di Questa Cetra In Seno,Dreams & Fables - Gluck Italian Arias: Tremo Fra' Dubbi Miei; Di Questa Cetra In Seno
Best Classical Contemporary Composition,2002,44,Individual,Rouse: Concert De Gaudí For Guitar & Orchestra,Rouse: Concert De Gaudí For Guitar & Orchestra
Best Classical Crossover Album,2002,44,Work,Béla Fleck,"Perpetual Motion - Scarlatti, Bach, Debussy, Chopin"
Best Short Form Music Video,2002,44,Individual,Weapon Of Choice,Weapon Of Choice
Best Long Form Music Video,2002,44,Individual,Recording The Producers - A Musical Romp With Mel Brooks,Recording The Producers - A Musical Romp With Mel Brooks
Record Of The Year,2003,45,Work,Norah Jones,Don't Know Why
Album Of The Year,2003,45,Work,Norah Jones,Come Away With Me
Song Of The Year,2003,45,Individual,Don't Know Why,Don't Know Why
Best New Artist,2003,45,Work,Norah Jones,Norah Jones
Best Female Pop Vocal Performance,2003,45,Work,Norah Jones,Don't Know Why
Best Male Pop Vocal Performance,2003,45,Work,John Mayer,Your Body Is A Wonderland
Best Pop Performance By A Duo Or Group With Vocal,2003,45,Individual,Hey Baby,Hey Baby
Best Pop Collaboration With Vocals,2003,45,Work,Carlos Santana,The Game Of Love
Best Pop Instrumental Performance,2003,45,Work,B.B. King,Auld Lang Syne
Best Pop Instrumental Album,2003,45,Individual,Just Chillin',Just Chillin'
Best Pop Vocal Album,2003,45,Work,Norah Jones,Come Away With Me
Best Dance Recording,2003,45,Individual,Days Go By,Days Go By
Best Traditional Pop Vocal Album,2003,45,Work,Tony Bennett,Playin' With My Friends - Bennett Sings The Blues
Best Female Rock Vocal Performance,2003,45,Individual,Steve McQueen,Steve McQueen
Best Male Rock Vocal Performance,2003,45,Work,Bruce Springsteen,The Rising
Best Rock Performance By A Duo Or Group With Vocal,2003,45,Work,Coldplay,In My Place
Best Hard Rock Performance,2003,45,Work,Foo Fighters,All My Life
Best Metal Performance,2003,45,Individual,Here To Stay,Here To Stay
Best Rock Instrumental Performance,2003,45,Individual,Approaching Pavonis Mons By Balloon (Utopia Planitia),Approaching Pavonis Mons By Balloon (Utopia Planitia)
Best Rock Song,2003,45,Work,Bruce Springsteen,The Rising
Best Rock Album,2003,45,Work,Bruce Springsteen,The Rising
Best Alternative Music Album,2003,45,Work,Coldplay,A Rush Of Blood To The Head
Best Female R&B Vocal Performance,2003,45,Work,Mary J. Blige,He Think I Don't Know
Best Male R&B Vocal Performance,2003,45,Work,Usher,U Don't Have To Call
Best R&B Performance By A Duo Or Group With Vocal,2003,45,Work,Stevie Wonder,Love's In Need Of Love Today
Best Traditional R&B Vocal Performance,2003,45,Individual,What's Going On,What's Going On
Best Urban/Alternative Performance,2003,45,Work,India.Arie,Little Things
Best R&B Song,2003,45,Work,Rashid Lonnie Lynn,Love Of My Life (An Ode To Hip Hop)
Best R&B Album,2003,45,Work,India.Arie,Voyage To India
Best Contemporary R&B Album,2003,45,Individual,Ashanti,Ashanti
Best Female Rap Solo Performance,2003,45,Individual,Scream a.k.a. Itchin',Scream a.k.a. Itchin'
Best Male Rap Solo Performance,2003,45,Individual,Hot In Herre,Hot In Herre
Best Rap Performance By A Duo Or Group,2003,45,Individual,The Whole World,The Whole World
Best Rap/Sung Collaboration,2003,45,Individual,Dilemma,Dilemma
Best Rap Album,2003,45,Work,Eminem,The Eminem Show
Best Female Country Vocal Performance,2003,45,Work,Faith Hill,Cry
Best Male Country Vocal Performance,2003,45,Individual,Give My Love To Rose,Give My Love To Rose
Best Country Performance By A Duo Or Group With Vocal,2003,45,Work,Dixie Chicks,Long Time Gone
Best Country Collaboration With Vocals,2003,45,Work,Willie Nelson,Mendocino County Line
Best Country Instrumental Performance,2003,45,Work,Dixie Chicks,Lil' Jack Slade
Best Country Song,2003,45,Individual,Where Were You (When The World Stopped Turning),Where Were You (When The World Stopped Turning)
Best Country Album,2003,45,Work,Dixie Chicks,Home
Best Bluegrass Album,2003,45,Individual,Lost In The Lonesome Pines,Lost In The Lonesome Pines
Best New Age Album,2003,45,Individual,Acoustic Garden,Acoustic Garden
Best Contemporary Jazz Album,2003,45,Individual,Speaking Of Now,Speaking Of Now
Best Jazz Vocal Album,2003,45,Individual,Live In Paris,Live In Paris
Best Jazz Instrumental Solo,2003,45,Work,Herbie Hancock,My Ship
"Best Jazz Instrumental Album, Individual or Group",2003,45,Work,Herbie Hancock,Directions In Music
Best Large Jazz Ensemble Album,2003,45,Individual,What Goes Around,What Goes Around
Best Latin Jazz Album,2003,45,Individual,The Gathering,The Gathering
Best Rock Gospel Album,2003,45,Individual,Come Together,Come Together
Best Pop/Contemporary Gospel Album,2003,45,Individual,The Eleventh Hour,The Eleventh Hour
"Best Southern, Country, or Bluegrass Gospel Album",2003,45,Individual,We Called Him Mr. Gospel Music - The James Blackwood Tribute Album,We Called Him Mr. Gospel Music - The James Blackwood Tribute Album
Best Traditional Soul Gospel Album,2003,45,Individual,Higher Ground,Higher Ground
Best Contemporary Soul Gospel Album,2003,45,Individual,Sidebars,Sidebars
Best Gospel Choir Or Chorus Album,2003,45,Individual,Be Glad,Be Glad
Best Latin Pop Album,2003,45,Individual,Caraluna,Caraluna
Best Latin Rock/Alternative Album,2003,45,Individual,Revolución De Amor,Revolución De Amor
Best Traditional Tropical Latin Album,2003,45,Individual,El Arte Del Sabor,El Arte Del Sabor
Best Salsa Album,2003,45,Individual,La Negra Tiene Tumbao,La Negra Tiene Tumbao
Best Merengue Album,2003,45,Individual,Latino,Latino
Best Mexican/Mexican-American Album,2003,45,Individual,Lo Dijo El Corazón,Lo Dijo El Corazón
Best Tejano Album,2003,45,Individual,Acuérdate,Acuérdate
Best Traditional Blues Album,2003,45,Work,B.B. King,A Christmas Celebration Of Hope
Best Contemporary Blues Album,2003,45,Individual,Don't Give Up On Me,Don't Give Up On Me
Best Traditional Folk Album,2003,45,Individual,Legacy,Legacy
Best Contemporary Folk Album,2003,45,Individual,This Side,This Side
Best Native American Music Album,2003,45,Individual,Beneath The Raven Moon,Beneath The Raven Moon
Best Reggae Album,2003,45,Individual,Jamaican E.T.,Jamaican E.T.
Best World Music Album,2003,45,Individual,Mundo,Mundo
Best Polka Album,2003,45,Work,Jimmy Sturr,Top Of The World
Best Musical Album For Children,2003,45,Individual,"Monsters, Inc. - Scream Factory Favorites","Monsters, Inc. - Scream Factory Favorites"
Best Spoken Word Album For Children,2003,45,Individual,There Was An Old Lady Who Swallowed A Fly,There Was An Old Lady Who Swallowed A Fly
Best Spoken Word Album,2003,45,Individual,A Song Flung Up To Heaven,A Song Flung Up To Heaven
Best Spoken Comedy Album,2003,45,Individual,Robin Williams - Live 2002,Robin Williams - Live 2002
Best Musical Show Album,2003,45,Individual,Hairspray,Hairspray
"Best Compilation Soundtrack Album For A Motion Picture, Television Or Other Visual Media",2003,45,Individual,Standing In The Shadows Of Motown,Standing In The Shadows Of Motown
"Best Score Soundtrack Album For A Motion Picture, Television Or Other Visual Media",2003,45,Individual,The Lord Of The Rings - The Fellowship Of The Ring,The Lord Of The Rings - The Fellowship Of The Ring
"Best Song Written For A Motion Picture, Television Or Other Visual Media",2003,45,Individual,"If I Didn't Have You (From Monsters, Inc.)","If I Didn't Have You (From Monsters, Inc.)"
Best Instrumental Composition,2003,45,Individual,Six Feet Under Title Theme,Six Feet Under Title Theme
Best Instrumental Arrangement,2003,45,Individual,Six Feet Under Title Theme,Six Feet Under Title Theme
Best Instrumental Arrangement Accompanying Vocalist(s),2003,45,Individual,Mean Old Man,Mean Old Man
Best Recording Package,2003,45,Individual,Home,Home
Best Boxed Or Special Limited Edition Package,2003,45,Individual,Screamin' And Hollerin' The Blues - The Worlds Of Charley Patton,Screamin' And Hollerin' The Blues - The Worlds Of Charley Patton
Best Album Notes,2003,45,Individual,Screamin' And Hollerin' The Blues - The Worlds Of Charley Patton,Screamin' And Hollerin' The Blues - The Worlds Of Charley Patton
Best Historical Album,2003,45,Individual,Screamin' And Hollerin' The Blues - The Worlds Of Charley Patton,Screamin' And Hollerin' The Blues - The Worlds Of Charley Patton
"Best Engineered Album, Non-Classical",2003,45,Individual,Come Away With Me,Come Away With Me
"Producer Of The Year, Non-Classical",2003,45,Individual,Arif Mardin,Arif Mardin
"Best Remixed Recording, Non-Classical",2003,45,Individual,Hella Good (Roger Sanchez Remix Main),Hella Good (Roger Sanchez Remix Main)
"Best Engineered Album, Classical",2003,45,Individual,Vaughan Williams: A Sea Symphony (Sym. No. 1),Vaughan Williams: A Sea Symphony (Sym. No. 1)
"Producer Of The Year, Classical",2003,45,Work,Robert Woods,Robert Woods
Best Classical Album,2003,45,Individual,Vaughan Williams: A Sea Symphony (Sym. No. 1),Vaughan Williams: A Sea Symphony (Sym. No. 1)
Best Orchestral Performance,2003,45,Individual,Mahler: Symphony No. 6,Mahler: Symphony No. 6
Best Opera Recording,2003,45,Individual,Wagner: Tannhäuser,Wagner: Tannhäuser
Best Choral Performance,2003,45,Individual,Vaughan Williams: A Sea Symphony (Sym. No. 1),Vaughan Williams: A Sea Symphony (Sym. No. 1)
Best Instrumental Soloist(s) Performance (with Orchestra),2003,45,Individual,Brahms/Stravinsky: Violin Concertos,Brahms/Stravinsky: Violin Concertos
Best Instrumental Soloist Performance (without Orchestra),2003,45,Individual,"Chopin: Études, Op. 10 & Op. 25","Chopin: Études, Op. 10 & Op. 25"
Best Chamber Music Performance,2003,45,Individual,"Beethoven: String Quartets (""Razumovsky"" Op. 59, 1-3; ""Harp"" Op. 74)","Beethoven: String Quartets (""Razumovsky"" Op. 59, 1-3; ""Harp"" Op. 74)"
Best Small Ensemble Performance (with or without Conductor),2003,45,Individual,Tavener: Lamentations & Praises,Tavener: Lamentations & Praises
Best Classical Vocal Performance,2003,45,Individual,"Bel Canto - Bellini, Donizetti & Rossini","Bel Canto - Bellini, Donizetti & Rossini"
Best Classical Contemporary Composition,2003,45,Individual,Tavener: Lamentations & Praises,Tavener: Lamentations & Praises
Best Classical Crossover Album,2003,45,Work,André Previn,"Previn Conducts Korngold - The Sea Hawk, Captain Blood, etc."
Best Short Form Music Video,2003,45,Work,Eminem,Without Me
Best Long Form Music Video,2003,45,Individual,Westway To The World,Westway To The World
Record Of The Year,2004,46,Work,Coldplay,Clocks
Album Of The Year,2004,46,Individual,Speakerboxxx/The Love Below,Speakerboxxx/The Love Below
Song Of The Year,2004,46,Individual,Dance With My Father,Dance With My Father
Best New Artist,2004,46,Individual,Evanescence,Evanescence
Best Female Pop Vocal Performance,2004,46,Work,Christina Aguilera,Beautiful
Best Male Pop Vocal Performance,2004,46,Work,Justin Timberlake,Cry Me A River
Best Pop Performance By A Duo Or Group With Vocal,2004,46,Individual,Underneath It All,Underneath It All
Best Pop Collaboration With Vocals,2004,46,Work,Sting,Whenever I Say Your Name
Best Pop Instrumental Performance,2004,46,Work,George Harrison,Marwa Blues
Best Pop Instrumental Album,2004,46,Individual,Mambo Sinuendo,Mambo Sinuendo
Best Pop Vocal Album,2004,46,Work,Justin Timberlake,Justified
Best Dance Recording,2004,46,Individual,Come Into My World,Come Into My World
Best Traditional Pop Vocal Album,2004,46,Work,Tony Bennett,A Wonderful World
Best Female Rock Vocal Performance,2004,46,Work,Pink,Trouble
Best Male Rock Vocal Performance,2004,46,Individual,Gravedigger,Gravedigger
Best Rock Performance By A Duo Or Group With Vocal,2004,46,Work,Bruce Springsteen,Disorder In The House
Best Hard Rock Performance,2004,46,Individual,Bring Me To Life,Bring Me To Life
Best Metal Performance,2004,46,Work,Metallica,St. Anger
Best Rock Instrumental Performance,2004,46,Work,Jeff Beck,Plan B
Best Rock Song,2004,46,Work,Jack White,Seven Nation Army
Best Rock Album,2004,46,Work,Foo Fighters,One By One
Best Alternative Music Album,2004,46,Individual,Elephant,Elephant
Best Female R&B Vocal Performance,2004,46,Work,Beyoncé,Dangerously In Love 2
Best Male R&B Vocal Performance,2004,46,Individual,Dance With My Father,Dance With My Father
Best R&B Performance By A Duo Or Group With Vocals,2004,46,Work,Beyoncé,The Closer I Get To You
Best Traditional R&B Vocal Performance,2004,46,Work,Aretha Franklin,Wonderful
Best Urban/Alternative Performance,2004,46,Individual,Hey Ya!,Hey Ya!
Best R&B Song,2004,46,Work,Beyoncé,Crazy In Love
Best R&B Album,2004,46,Individual,Dance With My Father,Dance With My Father
Best Contemporary R&B Album,2004,46,Work,Beyoncé,Dangerously In Love
Best Female Rap Solo Performance,2004,46,Individual,Work It,Work It
Best Male Rap Solo Performance,2004,46,Work,Eminem,Lose Yourself
Best Rap Performance By A Duo Or Group,2004,46,Individual,Shake Ya Tailfeather,Shake Ya Tailfeather
Best Rap/Sung Collaboration,2004,46,Work,Beyoncé,Crazy In Love
Best Rap Song,2004,46,Work,Eminem,Lose Yourself
Best Rap Album,2004,46,Individual,Speakerboxxx/The Love Below,Speakerboxxx/The Love Below
Best Female Country Vocal Performance,2004,46,Individual,Keep On The Sunny Side,Keep On The Sunny Side
Best Male Country Vocal Performance,2004,46,Work,Vince Gill,Next Big Thing
Best Country Performance By A Duo Or Group With Vocal,2004,46,Individual,A Simple Life,A Simple Life
Best Country Collaboration With Vocals,2004,46,Work,James Taylor,How's The World Treating You
Best Country Instrumental Performance,2004,46,Work,Alison Krauss,Cluck Old Hen
Best Country Song,2004,46,Individual,It's Five O'Clock Somewhere,It's Five O'Clock Somewhere
Best Country Album,2004,46,Individual,"Livin', Lovin',  Losin' - Songs Of The Louvin Brothers","Livin', Lovin',  Losin' - Songs Of The Louvin Brothers"
Best Bluegrass Album,2004,46,Work,Alison Krauss,Live
Best New Age Album,2004,46,Work,Pat Metheny,One Quiet Night
Best Contemporary Jazz Album,2004,46,Individual,34th N Lex,34th N Lex
Best Jazz Vocal Album,2004,46,Individual,A Little Moonlight,A Little Moonlight
Best Jazz Instrumental Solo,2004,46,Work,Chick Corea,Matrix
"Best Jazz Instrumental Album, Individual or Group",2004,46,Individual,Alegría,Alegría
Best Large Jazz Ensemble Album,2004,46,Individual,Wide Angles,Wide Angles
Best Latin Jazz Album,2004,46,Individual,Live At The Blue Note,Live At The Blue Note
Best Rock Gospel Album,2004,46,Individual,Worldwide,Worldwide
Best Pop/Contemporary Gospel Album,2004,46,Individual,Worship Again,Worship Again
"Best Southern, Country, or Bluegrass Gospel Album",2004,46,Individual,Rise And Shine,Rise And Shine
Best Traditional Soul Gospel Album,2004,46,Individual,Go Tell It On The Mountain,Go Tell It On The Mountain
Best Contemporary Soul Gospel Album,2004,46,Individual,...Again,...Again
Best Gospel Choir Or Chorus Album,2004,46,Individual,A Wing And A Prayer,A Wing And A Prayer
Best Latin Pop Album,2004,46,Individual,No Es Lo Mismo,No Es Lo Mismo
Best Latin Rock/Alternative Album,2004,46,Individual,Cuatro Caminos,Cuatro Caminos
Best Traditional Tropical Latin Album,2004,46,Individual,Buenos Hermanos,Buenos Hermanos
