category,year,annualGrammy,awardType,name,awardFor
Best Performance By A Chorus,1963,5,Individual,Presenting The New Christy Minstrels,Presenting The New Christy Minstrels
Best Original Cast Show Album,1963,5,Individual,No Strings,No Strings
Best Classical Performance - Orchestra,1963,5,Individual,Stravinsky: The Firebird Ballet,Stravinsky: The Firebird Ballet
Best Classical Performance - Chamber Music,1963,5,Individual,"The Heifetz-Piatigorsky Concerts With Primrose, Pennario And Guests","The Heifetz-Piatigorsky Concerts With Primrose, Pennario And Guests"
Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),1963,5,Individual,Stravinsky: Violin Concerto In D,Stravinsky: Violin Concerto In D
Best Classical Performance - Instrumental Soloist Or Duo (Without Orchestra),1963,5,Work,Vladimir Horowitz,Columbia Records Presents Vladimir Horowitz
Best Opera Recording,1963,5,Work,Georg Solti,Verdi: Aida
Best Classical Performance - Choral (Other Than Opera),1963,5,Individual,Bach: St. Matthew Passion,Bach: St. Matthew Passion
Best Classical Performance - Vocal Soloist (With Or Without Orchestra),1963,5,Individual,Wagner: Gotterdamerung - Brunnhilde's Immolation Scene/Wesendonck Songs,Wagner: Gotterdamerung - Brunnhilde's Immolation Scene/Wesendonck Songs
Best Contemporary Composition,1963,5,Individual,Stravinsky: The Flood,Stravinsky: The Flood
Best Engineered Recording - Classical,1963,5,Individual,Strauss: Also Sprach Zarathustra,Strauss: Also Sprach Zarathustra
Best Album Cover - Classical,1963,5,Individual,The Intimate Bach,The Intimate Bach
Best Album Cover - Other Than Classical,1963,5,Individual,Lena...Lovely And Alive,Lena...Lovely And Alive
Best Comedy Performance,1963,5,Individual,The First Family,The First Family
Best Documentary Or Spoken Word Recording (Other Than Comedy),1963,5,Individual,The Story-Teller: A Session With Charles Laughton,The Story-Teller: A Session With Charles Laughton
Best Engineering Contribution - Other Than Novelty And Other Than Classical,1963,5,Individual,Hatari,Hatari
Best Engineering Contribution - Novelty,1963,5,Individual,"The Civil War, Vol. I","The Civil War, Vol. I"
Best Recording For Children,1963,5,Individual,Saint-Saens: Carnival Of The Animals/Britten: Young Person's Guide To The Orchestra,Saint-Saens: Carnival Of The Animals/Britten: Young Person's Guide To The Orchestra
Best Rock & Roll Recording,1963,5,Individual,Alley Cat,Alley Cat
Best Country & Western Recording,1963,5,Individual,Funny Way Of Laughin',Funny Way Of Laughin'
Best Rhythm & Blues Recording,1963,5,Individual,I Can't Stop Loving You,I Can't Stop Loving You
Best Folk Recording,1963,5,Individual,If I Had A Hammer,If I Had A Hammer
Best Gospel Or Other Religious Recording,1963,5,Individual,Great Songs Of Love And Faith,Great Songs Of Love And Faith
Best New Artist Of 1962,1963,5,Individual,Robert Goulet,Robert Goulet
Record Of The Year,1964,6,Work,Henry Mancini,Days Of Wine And Roses
Album Of The Year (Other Than Classical),1964,6,Work,Barbra Streisand,The Barbra Streisand Album
Classical Album Of The Year,1964,6,Individual,Britten: War Requiem,Britten: War Requiem
Song Of The Year,1964,6,Work,Henry Mancini,Days Of Wine And Roses
Best Instrumental Theme,1964,6,Individual,More - Theme From Mondo Cane,More - Theme From Mondo Cane
"Best Vocal Performance, Female",1964,6,Work,Barbra Streisand,The Barbra Streisand Album
"Best Vocal Performance, Male",1964,6,Individual,Wives And Lovers,Wives And Lovers
Best Instrumental Jazz Performance - Soloist Or Small Group,1964,6,Individual,Conversations With Myself,Conversations With Myself
Best Instrumental Jazz Performance - Large Group,1964,6,Individual,"Encore: Woody Herman, 1963","Encore: Woody Herman, 1963"
Best Original Jazz Composition,1964,6,Individual,Gravy Waltz,Gravy Waltz
Best Performance By An Orchestra - For Dancing,1964,6,Individual,This Time By Basie! Hits Of The 50's And 60's,This Time By Basie! Hits Of The 50's And 60's
Best Performance By An Orchestra Or Instrumentalist With Orchestra - Primarily Not Jazz Or For Dancing,1964,6,Individual,Java,Java
Best Instrumental Arrangement,1964,6,Individual,I Can't Stop Loving You,I Can't Stop Loving You
Best Background Arrangement (Behind vocalist or instrumentalist),1964,6,Work,Henry Mancini,Days Of Wine And Roses
Best Performance By A Vocal Group,1964,6,Individual,Blowin' In The Wind,Blowin' In The Wind
Best Performance By A Chorus,1964,6,Individual,Bach's Greatest Hits,Bach's Greatest Hits
Best Original Score From A Motion Picture Or Television Show,1964,6,Individual,Tom Jones,Tom Jones
Best Score From An Original Cast Show Album,1964,6,Individual,She Loves Me,She Loves Me
Best Classical Performance - Orchestra,1964,6,Individual,Bartók: Concerto For Orchestra,Bartók: Concerto For Orchestra
Best Classical Performance - Chamber Music,1964,6,Individual,Evening Of Elizabethan Music,Evening Of Elizabethan Music
Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),1964,6,Individual,Tchaikovsky: Piano Concerto No. 1 In B Flat Minor,Tchaikovsky: Piano Concerto No. 1 In B Flat Minor
Best Classical Performance - Instrumental Soloist Or Duo (Without Orchestra),1964,6,Work,Vladimir Horowitz,The Sound Of Horowitz
Best Opera Recording,1964,6,Individual,Puccini: Madama Butterfly,Puccini: Madama Butterfly
Best Classical Performance - Choral (Other Than Opera),1964,6,Individual,Britten: War Requiem,Britten: War Requiem
Best Classical Performance - Vocal Soloist (With Or Without Orchestra),1964,6,Individual,Great Scenes From Gershwin's Porgy And Bess,Great Scenes From Gershwin's Porgy And Bess
Best Classical Composition By A Contemporary Composer,1964,6,Individual,Britten: War Requiem,Britten: War Requiem
Best Engineered Recording - Classical,1964,6,Individual,Puccini: Madama Butterfly,Puccini: Madama Butterfly
Best Album Cover - Classical,1964,6,Individual,Puccini: Madama Butterfly,Puccini: Madama Butterfly
Best Album Cover - Other Than Classical,1964,6,Individual,The Barbra Streisand Album,The Barbra Streisand Album
Most Promising New Classical Recording Artist,1964,6,Individual,"Liszt: Concerto No. 1 For Piano & Orchestra (Bernstein, cond.; N.Y. Philharmonic)","Liszt: Concerto No. 1 For Piano & Orchestra (Bernstein, cond.; N.Y. Philharmonic)"
Best Comedy Performance,1964,6,Individual,"Hello Mudduh, Hello Faddah","Hello Mudduh, Hello Faddah"
"Best Documentary, Spoken Word Or Drama Recording (Other Than Comedy)",1964,6,Individual,Who's Afraid Of Virginia Woolf?,Who's Afraid Of Virginia Woolf?
Best Engineered Recording - Other Than Classical,1964,6,Individual,Charade,Charade
Best Engineered Recording - Special Or Novel Effects,1964,6,Individual,"The Civil War, Vol. II","The Civil War, Vol. II"
Best Album Notes,1964,6,Individual,The Ellington Era,The Ellington Era
Best Recording For Children,1964,6,Individual,Bernstein Conducts For Young People,Bernstein Conducts For Young People
Best Rock & Roll Recording,1964,6,Individual,Deep Purple,Deep Purple
Best Country & Western Recording,1964,6,Individual,Detroit City,Detroit City
Best Rhythm & Blues Recording,1964,6,Individual,Busted,Busted
Best Folk Recording,1964,6,Individual,Blowin' In The Wind,Blowin' In The Wind
Best Gospel Or Other Religious Recording (Musical),1964,6,Individual,Dominique,Dominique
Best New Artist Of 1963,1964,6,Individual,Ward Swingle (The Swingle Singers),Ward Swingle (The Swingle Singers)
Record Of The Year,1965,7,Individual,The Girl From Ipanema,The Girl From Ipanema
Album Of The Year,1965,7,Individual,Getz/Gilberto,Getz/Gilberto
Album Of The Year -- Classical,1965,7,Individual,"Bernstein: Symphony No. 3 ""Kaddish""","Bernstein: Symphony No. 3 ""Kaddish"""
Song Of The Year,1965,7,Individual,"Hello, Dolly!","Hello, Dolly!"
Best Instrumental Composition (Other Than Jazz),1965,7,Work,Henry Mancini,The Pink Panther Theme
"Best Vocal Performance, Female",1965,7,Work,Barbra Streisand,People
"Best Vocal Performance, Male",1965,7,Individual,"Hello, Dolly!","Hello, Dolly!"
Best Instrumental Jazz Performance - Small Group Or Soloist With Small Group,1965,7,Individual,Getz/Gilberto,Getz/Gilberto
Best Instrumental Jazz Performance - Large Group Or Soloist With Large Group,1965,7,Individual,Guitar From Ipanema,Guitar From Ipanema
Best Original Jazz Composition,1965,7,Individual,The Cat,The Cat
Best Instrumental Performance - Non-Jazz,1965,7,Work,Henry Mancini,The Pink Panther
Best Instrumental Arrangement,1965,7,Work,Henry Mancini,The Pink Panther
Best Accompaniment Arrangement For Vocalist(s) Or Instrumentalist(s),1965,7,Individual,People,People
Best Performance By A Vocal Group,1965,7,Work,The Beatles,A Hard Day's Night
Best Performance By A Chorus,1965,7,Individual,The Swingle Singers Going Baroque,The Swingle Singers Going Baroque
Best Original Score Written For A Motion Picture Or Television Show,1965,7,Individual,Mary Poppins,Mary Poppins
Best Score From An Original Cast Show Album,1965,7,Individual,Funny Girl,Funny Girl
Best Comedy Performance,1965,7,Individual,I Started Out As A Child,I Started Out As A Child
"Best Documentary, Spoken Word Or Drama Recording (Other Than Comedy)",1965,7,Individual,BBC Tribute To John F. Kennedy,BBC Tribute To John F. Kennedy
Best Engineered Recording - Non-Classical,1965,7,Individual,Getz/Gilberto,Getz/Gilberto
Best Engineered Recording - Special Or Novel Effects,1965,7,Individual,The Chipmunks Sing The Beatles,The Chipmunks Sing The Beatles
Best Album Cover- Other Than Classical,1965,7,Individual,People,People
Best Album Cover - Classical,1965,7,Individual,Saint-Saens: Carnival Of The Animals/Britten: Young Persons Guide To The Orchestra,Saint-Saens: Carnival Of The Animals/Britten: Young Persons Guide To The Orchestra
Best Recording For Children,1965,7,Individual,Mary Poppins,Mary Poppins
Best Rock & Roll Recording,1965,7,Individual,Downtown,Downtown
Best Rhythm & Blues Recording,1965,7,Individual,How Glad I Am,How Glad I Am
Best Folk Recording,1965,7,Individual,We'll Sing In The Sunshine,We'll Sing In The Sunshine
Best Gospel Or Other Religious Recording (Musical),1965,7,Individual,Great Gospel Songs,Great Gospel Songs
Best New Artist Of 1964,1965,7,Work,The Beatles,The Beatles
Best Country & Western Single,1965,7,Individual,Dang Me,Dang Me
Best Country & Western Album,1965,7,Work,Roger Miller,Dang Me/Chug-A-Lug
Best Country & Western Vocal Performance - Female,1965,7,Individual,Here Comes My Baby,Here Comes My Baby
Best Country & Western Vocal Performance - Male,1965,7,Work,Roger Miller,Dang Me
Best Country & Western Song,1965,7,Work,Roger Miller,Dang Me
Best New Country & Western Artist Of 1964,1965,7,Work,Roger Miller,
Best Album Notes,1965,7,Individual,Mexico (Legacy Collection),Mexico (Legacy Collection)
Best Performance - Orchestra,1965,7,Individual,Mahler: Symphony No. 5/Berg: Wozzeck Excerpts,Mahler: Symphony No. 5/Berg: Wozzeck Excerpts
Best Chamber Performance - Instrumental,1965,7,Individual,"Beethoven: Trio No. 1 In E Flat, Op. 1 #1","Beethoven: Trio No. 1 In E Flat, Op. 1 #1"
Best Chamber Music Performance - Vocal,1965,7,Individual,It Was A Lover And His Lass,It Was A Lover And His Lass
Best Performance - Instrumental Soloist Or Soloists (With Orchestra),1965,7,Individual,Prokofiev: Violin Concerto No. 1 In D,Prokofiev: Violin Concerto No. 1 In D
Best Performance - Instrumental Soloist Or Soloists (Without Orchestra),1965,7,Work,Vladimir Horowitz,"Vladimir Horowitz Plays Beethoven, Debussy, Chopin"
Best Opera Recording,1965,7,Individual,Bizet: Carmen,Bizet: Carmen
Best Choral Performance (Other Than Opera),1965,7,Individual,Britten: A Ceremony Of Carols,Britten: A Ceremony Of Carols
Best Vocal Soloist Performance (With Or Without Orchestra),1965,7,Individual,Berlioz: Nuits D'Ete (Song Cycle)/Falla: El Amor Brujo,Berlioz: Nuits D'Ete (Song Cycle)/Falla: El Amor Brujo
Best Composition By A Contemporary Composer,1965,7,Individual,Barber: Piano Concerto,Barber: Piano Concerto
Best Engineered Recording,1965,7,Individual,Britten: Young Person's Guide To The Orchestra,Britten: Young Person's Guide To The Orchestra
Most Promising New Classical Recording Artist,1965,7,Individual,"The Age Of Bel Canto: Operatic Scenes (Boyngne, cond.)","The Age Of Bel Canto: Operatic Scenes (Boyngne, cond.)"
Record Of The Year,1966,8,Individual,A Taste Of Honey,A Taste Of Honey
Album Of The Year,1966,8,Work,Frank Sinatra,September Of My Years
Album Of The Year -- Classical,1966,8,Work,Vladimir Horowitz,Horowitz At Carnegie Hall - An Historic Return
Song Of The Year,1966,8,Individual,"The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")","The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")"
"Best Vocal Performance, Female",1966,8,Work,Barbra Streisand,My Name Is Barbra
"Best Vocal Performance, Male",1966,8,Work,Frank Sinatra,It Was A Very Good Year
"Best Instrumental Performance, Non-Jazz",1966,8,Individual,A Taste Of Honey,A Taste Of Honey
Best Performance By A Vocal Group,1966,8,Individual,We Dig Mancini,We Dig Mancini
Best Performance By A Chorus,1966,8,Individual,Anyone For Mozart?,Anyone For Mozart?
Best Original Score Written For A Motion Picture Or Television Show,1966,8,Individual,The Sandpiper,The Sandpiper
Best Score From An Original Cast Show Album,1966,8,Individual,On A Clear Day,On A Clear Day
Best Comedy Performance,1966,8,Individual,Why Is There Air?,Why Is There Air?
Best Spoken Word Or Drama Recording,1966,8,Individual,John F. Kennedy - As We Remember Him,John F. Kennedy - As We Remember Him
Best New Artist,1966,8,Individual,Tom Jones,Tom Jones
Best Recording For Children,1966,8,Individual,"Dr. Seuss Presents ""Fox In Sox"" And ""Green Eggs And Ham""","Dr. Seuss Presents ""Fox In Sox"" And ""Green Eggs And Ham"""
